bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,
22470,The Origin of Satan: How Christians Demonized Jews  Pagans and Heretics,Elaine Pagels,3.9,679731180,9.78068E+12,eng,240,5729,209,4/30/1996,Vintage,
22472,Discourse on the Origin of Inequality,Jean-Jacques Rousseau,3.82,486434141,9.78049E+12,eng,73,9975,210,6/4/2004,Dover Publications,
22473,On the Origins of War and the Preservation of Peace,Donald Kagan,4.01,385423756,9.78039E+12,eng,573,520,30,1/1/1996,Anchor,
22474,The Origins of Totalitarianism,Hannah Arendt,4.28,805242252,9.78081E+12,eng,674,77,11,3/1/2004,Schocken Books,
22478,The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,4.25,618057072,9.78062E+12,eng,491,3473,426,8/15/2000,Mariner Books,
22482,Final Fantasy Origins - Official Strategy Guide,Casey Loe/Laura Parkinson,3.96,744002532,9.78074E+12,eng,256,25,1,4/9/2003,Bradygames,
22483,Social Origins of Dictatorship and Democracy: Lord and Peasant in the Making of the Modern World,Barrington Moore Jr./James C. Scott/Edward Friedman,3.98,807050733,9.78081E+12,eng,592,823,37,9/1/1993,Beacon Press,
22485,Smithsonian Intimate Guide to Human Origins,Carl Zimmer,4.02,61196673,9.78006E+12,eng,176,173,17,2/6/2007,Harper Perennial,
22486,Economic Origins of Dictatorship and Democracy,Daron Acemo?lu/James A. Robinson,3.97,521855268,9.78052E+12,eng,416,158,10,10/1/2005,Cambridge University Press,
22489,African Origins of the Major "Western Religions",Yosef A.A. Ben-Jochannan,4.54,933121296,9.78093E+12,eng,363,129,6,12/1/1991,Black Classic Press,
22493,The Origins of the Civil Rights Movements: Black Communities Organizing for Change,Aldon D. Morris,4.05,29221307,9.78003E+12,en-US,368,151,13,9/15/1986,Free Press,
22495,The Origin of the Bible,F.F. Bruce/Philip W. Comfort/Carl F.H. Henry/J.I. Packer,3.86,842383670,9.78084E+12,en-US,352,79,11,12/17/2003,Tyndale House Publishers,
22499,Country of Origin,Don  Lee,3.47,039332706X,9.78039E+12,eng,320,317,41,4/17/2005,W. W. Norton  Company,
22508,The Making of a Philosopher: My Journey Through Twentieth-Century Philosophy,Colin McGinn,3.65,60957603,9.78006E+12,eng,256,226,31,7/8/2003,Harper Perennial,
22514,The Beatles and Philosophy: Nothing You Can Think that Can't Be Thunk,Michael Baur/Steven Baur/James S. Spiegel,3.63,812696069,9.78081E+12,eng,288,157,14,10/25/2006,Open Court,
22515,The Gospel According to the Beatles,Steve Turner,3.77,664229832,9.78066E+12,eng,254,126,23,8/3/2006,Westminster John Knox Press,
22538,JPod,Douglas Coupland,3.69,1596911042,9.7816E+12,en-US,448,617,72,5/16/2006,Bloomsbury,
22539,Hairstyles of the Damned,Joe Meno,3.72,188845170X,9.78189E+12,eng,270,5298,468,9/1/2004,Akashic Books/Punk Planet Books,
22541,Just Visiting This Planet: Merlin Answers More Questions about Everything Under the Sun  Moon  and Stars,Neil deGrasse Tyson/Stephen Tyson,4.17,385488378,9.78039E+12,eng,352,86,4,7/13/1998,Main Street Books,
22542,Merlin's Tour of the Universe,Neil deGrasse Tyson,4.02,385488351,9.78039E+12,eng,318,305,27,7/14/1997,Main Street Books,
22543,Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,4.1,393062244,9.78039E+12,eng,384,9837,552,1/17/2007,W. W. Norton  Company,
22547,Tales from the Dark Tower,Joseph Vargo/Christine Filipak/Eric Muss-Barnes/Jalone J. Haessig/Joseph Iorillo/Robert Michaels/Russell Novotny/James Pipik,4.23,967575605,9.78097E+12,en-US,282,54,5,10/1/2003,Monolith Graphics,
22549,The Dark Tower (The Dark Tower #7),Stephen King,4.28,340827211,9.78034E+12,eng,686,362,40,9/21/2004,Hodder & Stoughton,
22550,The Gunslinger,Stephen King,3.96,670032549,9.78067E+12,eng,231,2309,230,6/23/2003,Viking,
22553,Gunslinger Girl  Vol. 1,Yu Aida/Hiroshi Aida,3.87,1413900208,9.78141E+12,eng,175,911,42,12/29/2003,ADV Manga,
22554,Gunslinger,Ed Dorn,4.11,822309327,9.78082E+12,eng,224,247,24,8/22/1989,Duke University Press Books,
22557,Wasteland of Flint,Thomas Harlan,3.79,765341131,9.78077E+12,eng,512,291,38,2/1/2004,Tor Books,
22559,Cities in Dust (Wasteland #1),Antony Johnston/Christopher Mitten,3.55,1932664599,9.78193E+12,eng,160,576,73,4/20/2010,Oni Press,
22562,Slim to None: A Journey Through the Wasteland of Anorexia Treatment,Jennifer Hendricks/Gordon Hendricks,3.63,71433716,9.78007E+12,eng,384,580,21,2/4/2004,McGraw-Hill Education,
22575,Sit  Walk  Stand,Watchman Nee,4.42,842358935,9.78084E+12,eng,80,2663,141,11/4/1977,Tyndale House Publishers,
22576,Prayers for the Assassin (Assassin Trilogy #1),Robert Ferrigno,3.76,141650768X,9.78142E+12,eng,458,791,95,10/31/2006,Pocket Star Books,
22580,Voices From the Street,Philip K. Dick,3.29,765316927,9.78077E+12,en-US,301,698,104,1/23/2007,Tor Books,
22583,The Minority Report: 18 Classic Stories,Philip K. Dick/James Tiptree Jr.,4.19,806523794,9.78081E+12,eng,380,456,40,5/1/2002,Citadel,
22584,Flow My Tears  the Policeman Said,Philip K. Dick,3.91,1857983416,9.78186E+12,eng,204,26767,1075,11/8/2001,Gollancz,
22586,The Crack in Space,Philip K. Dick,3.46,1400030064,9.7814E+12,eng,188,1878,142,3/8/2005,Vintage,
22590,Ubik,Philip K. Dick/David Alabort/Manuel Espin,4.09,8498000831,9.7885E+12,spa,288,63422,2486,5/1/2006,La factoria de ideas,
22591,The Best of Philip K. Dick,Philip K. Dick/John Brunner,4.22,345253590,9.78035E+12,eng,450,622,33,2/12/1978,Del Rey Books (NY),
22595,Vulcan's Hammer,Philip K. Dick,3.52,1400030129,9.7814E+12,eng,165,1561,97,8/10/2004,Vintage,
22602,Carly's Sound,Ali Vali,4.21,1933110457,9.78193E+12,eng,212,454,11,6/1/2006,Bold Strokes Books,
22616,The System of Objects,Jean Baudrillard/James Benedict,4.01,1844670538,9.78184E+12,eng,224,1002,27,1/17/2006,Verso,
22618,The Intelligence of Evil or the Lucidity Pact,Jean Baudrillard/Chris     Turner,3.89,1845203348,9.78185E+12,eng,215,247,9,12/1/2005,Bloomsbury Academic,
22620,Introducing Baudrillard,Chris Horrocks/Zoran Jevti?,3.32,1840460873,9.78184E+12,eng,176,165,25,8/13/1997,Icon Books,
22623,Existentialism and Human Emotions,Jean-Paul Sartre,3.84,806509023,9.78081E+12,eng,96,4190,147,12/1/2000,Citadel,
22624,Nausea,Jean-Paul Sartre/James  Wood/Robert Baldick,3.92,014118549X,9.78014E+12,eng,253,1590,140,11/30/2000,Penguin Books,
22626,From Socrates to Sartre: The Philosophic Quest,T.Z. Lavine,3.94,553251619,9.78055E+12,eng,426,932,70,1/1/1985,Bantam,
22632,The Trial and Death of Socrates (Euthyphro  Apology  Crito  Phaedo (death scene only)),Plato/G.M.A. Grube/John M. Cooper,4.08,872205541,9.78087E+12,eng,58,26252,344,6/1/2001,Hackett Publishing Company,
22633,The Trial of Queen Caroline: The Scandalous Affair that Nearly Ended a Monarchy,Jane Robins,3.39,743255909,9.78074E+12,eng,384,52,8,8/7/2006,Free Press,
22649,Bookends,Jane Green,3.72,767907817,9.78077E+12,eng,368,37153,822,5/27/2003,Broadway Books,
22656,Jemima J.: For those who love Faking Friends and My Sweet Revenge by Jane Fallon,Jane Green,3.65,140276904,9.78014E+12,eng,450,683,66,8/6/1998,Penguin Books,
22669,Open House,Elizabeth Berg,3.7,613997638,9.78061E+12,eng,0,0,0,5/1/2001,Turtleback Books,
22677,Feeling Better  Getting Better  Staying Better: Profound Self-Help Therapy for Your Emotions,Albert Ellis,3.76,1886230358,9.78189E+12,eng,272,51,6,6/1/2001,Impact,
22680,American Sphinx: The Character of Thomas Jefferson,Joseph J. Ellis,3.92,679764410,9.78068E+12,eng,440,20178,590,4/7/1998,Vintage,
22681,Line Of Vision,David Ellis,3.81,425183769,9.78043E+12,en-US,448,609,82,2/5/2002,G.P. Putnam's Sons,
22686,The Other Woman,Jane Green,3.7,452287146,9.78045E+12,eng,389,29112,651,6/6/2006,Berkley,
22687,No Other Woman (No Other  #2),Shannon Drake,3.78,380781360,9.78038E+12,eng,391,299,7,6/1/1996,Avon Books,
22690,The Other Woman (Dundee  Idaho  #7),Brenda Novak,4.11,373713444,9.78037E+12,eng,299,560,33,5/9/2006,Harlequin Special Releases,
22691,The Other Woman,Ann  O'Leary,3.64,1562802348,9.78156E+12,eng,213,77,6,4/28/1999,Naiad Press,
22697,Sins of a Shaker Summer (Sister Rose Callahan  #3),Deborah Woodworth,3.52,380792044,9.78038E+12,eng,272,58,6,3/9/1999,Avon,
22715,InuYasha Ani-Manga  Vol. 1 (Inuyasha Ani-Manga  #1),Rumiko Takahashi,4.36,1591162025,9.78159E+12,eng,206,5862,55,1/14/2004,VIZ Media LLC,
22718,Pusteblume,Marian Keyes,3.81,3453189345,9.78345E+12,ger,560,59,0,5/1/2001,Heyne,
22724,?Quien te lo ha contado?,Marian Keyes,3.79,8497936736,9.7885E+12,spa,648,169,9,12/30/2005,DeBolsillo,
22725,Une vie de reve,Marian Keyes,3.69,271443813X,9.78271E+12,fre,593,11,4,5/4/2005,Pocket,
22726,Por los pelos,Marian Keyes,3.81,1400002214,9.7814E+12,spa,592,34,5,9/17/2002,Plaza y Janes,
