bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
40273,Star Trek Voyager Companion,Paul Ruditis,3.95,743417518,9.78074E+12,eng,482,162,9,5/1/2003,Pocket Books
40276,Dodge Caravan/Plymouth Voyager/Chrysler Town & Country 96-02 (Haynes Manuals),L. Alan LeDoux,3.93,1563924692,9.78156E+12,eng,336,14,1,12/2/2002,Haynes Manuals N. America  Inc.
40277,Evolution (Star Trek Voyager: String Theory  #3),Heather Jarman,3.78,1416507817,9.78142E+12,eng,416,324,18,2/28/2006,Pocket Books
40281,Masterpieces: The Best Science Fiction of the Twentieth Century,Orson Scott Card/Isaac Asimov/William Gibson/Michael Swanwick/Theodore Sturgeon/Larry Niven/Robert Silverberg/Harry Turtledove/James Blish/George R.R. Martin/James Patrick Kelly/Karen Joy Fowler/Arthur C. Clarke/Lloyd Biggle Jr./Terry Bisson/Poul Anderson/John Kessel/R.A. Lafferty/C.J. Cherryh/Lisa Goldstein/Edmond Hamilton/Robert A. Heinlein/Ursula K. Le Guin/Ray Bradbury/Frederik Pohl/Harlan Ellison/George Alec Effinger/Brian W. Aldiss,4.21,441011330,9.78044E+12,eng,422,1202,79,3/2/2004,Ace Books
40284,Earthborn (Homecoming Saga #5),Orson Scott Card,3.41,312930402,9.78031E+12,eng,378,64,2,5/1/1995,Tor Books
40286,First Meetings: In the Enderverse,Orson Scott Card,3.84,1841493112,9.78184E+12,en-GB,228,69,2,3/1/2013,Little  Brown Young Readers
40287,Wyrms,Orson Scott Card,3.38,765305607,9.78077E+12,eng,336,4984,202,4/5/2003,Orb Books
40289,The Abyss,Orson Scott Card/James Francis Cameron,4.07,99690608,9.7801E+12,eng,363,17911,111,10/5/1989,Legend
40291,Shadow Puppets (Shadow Series  #3),Orson Scott Card,3.89,641573049,9.78064E+12,eng,345,3,0,8/19/2002,Doherty  Tom Associates  LLC
40293,Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,3.97,812508645,9.78081E+12,en-US,402,12940,894,3/1/2016,Tor Books
40295,This Is the Way the World Ends,James K. Morrow,3.75,156002086,9.78016E+12,eng,319,1312,81,4/24/1995,Harcourt Brace & company
40296,Galapagos: World's End,William Beebe,3.84,486256421,9.78049E+12,en-US,528,31,7,5/1/1988,Dover Publications
40297,The Well At The World's End: Volume I,William Morris/Lin Carter,3.81,1587150883,9.78159E+12,en-US,332,257,22,3/20/2000,Borgo Press
40299,The Well at the World's End: Volume II,William Morris,3.9,1587150891,9.78159E+12,eng,252,14,1,3/20/2000,Borgo Press
40303,Lost Boys,Orson Scott Card,3.59,517125773,9.78052E+12,eng,448,7469,689,7/10/1994,Random House Value Publishing
40304,The Worthing Saga (Worthing  #1-3),Orson Scott Card,3.85,812533313,9.78081E+12,eng,463,8064,299,12/15/1992,Tor Books
40312,The Rocky Road to Romance (Elsie Hawkins #4),Janet Evanovich,3.67,60598891,9.78006E+12,eng,249,9669,315,11/29/2011,Harper
40314,Love Overboard,Janet Evanovich,3.65,60598840,9.78006E+12,eng,244,11448,338,2/1/2005,HarperTorch
40318,Back to the Bedroom (Elsie Hawkins #1),Janet Evanovich,3.68,60598859,9.78006E+12,eng,234,10077,486,2/25/2014,Harper
40326,More Plums in One (Stephanie Plum  #4-6),Janet Evanovich,4.45,031236296X,9.78031E+12,en-US,792,219,11,4/3/2007,St. Martin's Press
40328,Full Blast (Full #4),Janet Evanovich/Charlotte Hughes,3.83,312983301,9.78031E+12,eng,344,12363,278,4/19/2004,St. Martin's Paperbacks
40329,Metro Girl (Alex Barnaby  #1),Janet Evanovich,3.62,60584025,9.78006E+12,eng,374,28987,1090,9/27/2005,HarperTorch
40331,To the Nines (Stephanie Plum  #9),Janet Evanovich,4.17,747267634,9.78075E+12,eng,320,94990,1581,6/5/2004,St. Martin's Press
40335,Full Speed (Full  #3),Janet Evanovich/Charlotte Hughes,3.83,755301978,9.78076E+12,eng,344,11280,223,11/3/2003,Headline
40338,Love Overboard,Janet Evanovich/C.J. Critt,3.65,006073695X,9.78006E+12,eng,5,95,22,1/25/2005,HarperAudio
40339,The Rocky Road to Romance (Elsie Hawkins  #4),Janet Evanovich/C.J. Critt,3.67,60738251,9.78006E+12,eng,5,93,26,8/31/2004,HarperAudio
40342,Two for the Dough (Stephanie Plum  #2),Janet Evanovich,4.11,312948964,9.78031E+12,en-US,325,2509,292,6/29/2007,St. Martin's Press
40343,The Full Box (Full  #1-4),Janet Evanovich/Charlotte Hughes,4.29,1593979266,9.78159E+12,eng,0,101,3,2/16/2016,Macmillan Audio
40347,Hard Eight (Stephanie Plum  #8),Janet Evanovich,4.17,747267626,9.78075E+12,eng,339,155,13,6/23/2003,Headline Review
40359,Hot Six (Stephanie Plum  #6),Janet Evanovich,4.19,033037124X,9.78033E+12,eng,324,307,28,6/1/2001,Pan MacMillan
40360,Metro Girl (Alex Barnaby  #1),Janet Evanovich/C.J. Critt,3.62,61126527,9.78006E+12,eng,6,79,29,7/25/2006,HarperAudio
40361,Martian Time-Slip,Philip K. Dick,3.77,185798837X,9.78186E+12,eng,226,353,33,7/8/1999,Gollancz
40364,The Martians (Mars Trilogy  #3.5),Kim Stanley Robinson,3.56,553574019,9.78055E+12,eng,434,1495,92,10/3/2000,Spectra Books
40372,Pirates of Venus (Venus  #1),Edgar Rice Burroughs/Thomas Floyd/F. Paul Wilson/Phillip R. Burger,3.7,803261837,9.7808E+12,eng,179,1235,66,9/1/2001,Bison Books
40376,Swords of Mars (Barsoom  #8),Edgar Rice Burroughs,3.82,345329562,9.78035E+12,eng,191,2812,61,7/12/1979,Del Rey
40378,The Chessmen of Mars (Barsoom #5),Edgar Rice Burroughs/John Bolen,3.83,1400130212,9.7814E+12,eng,0,5147,157,1/1/2005,Tantor Media
40379,The Warlord of Mars (Barsoom  #3),Edgar Rice Burroughs/John Bolen,3.86,1400130220,9.7814E+12,eng,6,9350,345,2/1/2001,Tantor Media
40384,Synthetic Men of Mars (Barsoom  #9),Edgar Rice Burroughs,3.78,345339304,9.78035E+12,eng,160,2601,58,1/12/1980,Del Rey
40385,The Master Mind of Mars (Barsoom #6),Edgar Rice Burroughs,3.85,345334248,9.78035E+12,eng,160,3949,80,4/12/1979,Ballantine Books
40386,A Fighting Man of Mars (Barsoom  #7),Edgar Rice Burroughs,3.84,345345118,9.78035E+12,eng,239,3169,77,10/12/1984,Del Rey
40387,Thuvia  Maid of Mars (Barsoom  #4),Edgar Rice Burroughs,3.75,345339932,9.78035E+12,eng,160,6313,233,7/12/1986,Del Rey
40388,John Carter of Mars (Barsoom #11),Edgar Rice Burroughs,3.82,345329554,9.78035E+12,eng,167,3703,78,7/12/1985,Del Rey
40395,A Princess of Mars (Barsoom  #1),Edgar Rice Burroughs/John Seelye,3.81,143104888,9.78014E+12,eng,186,38926,2355,1/30/2007,Penguin Books
40421,Escape on Venus (Venus  #4),Edgar Rice Burroughs,3.7,345370112,9.78035E+12,eng,246,9,0,6/15/1991,Del Rey
40424,Tarzan of the Apes: Tarzan of the Apes/The Son of Tarzan/Tarzan at the Earth's Core/Tarzan Triumphant,Edgar Rice Burroughs/Esteban Maroto/J. Allen St. John/Studley Burroughs,4.14,517659573,9.78052E+12,eng,848,29,1,11/30/1988,Random House Value Publishing
40425,Tarzan of the Apes (Tarzan  #1),Edgar Rice Burroughs,3.9,809599813,9.78081E+12,eng,324,31734,1573,9/1/2003,Wildside Press
40436,The Five People You Meet in Heaven,Mitch Albom,3.93,751536822,9.78075E+12,eng,229,4251,525,9/2/2005,Time Warner Paperbacks
40437,Murder in the Bastille (Aimee Leduc Investigations  #4),Cara Black,3.73,1569473641,9.78157E+12,en-US,276,1198,110,4/1/2004,Soho Crime
40440,The Thirteenth Tale,Diane Setterfield,3.96,743298020,9.78074E+12,eng,406,239809,18865,9/12/2006,Atria Books
40450,Market Forces,Richard K. Morgan,3.59,345457749,9.78035E+12,eng,464,5593,264,3/1/2005,Ballantine Books
40451,Black Widow: The Things They Say About Her,Richard K. Morgan/Bill Sienkiewicz/Sean Phillips,3.47,785117687,9.78079E+12,eng,144,302,33,6/7/2006,Marvel
40452,Black Widow: Homecoming,Richard K. Morgan/Bill Sienkiewicz/Goran Parlov,3.79,785114939,9.78079E+12,eng,144,617,43,5/11/2005,Marvel
40459,Ragtime,E.L. Doctorow,3.88,553026003,9.78055E+12,eng,369,210,37,3/1/1977,Bantam Books
